codigo,nome,lat,lon,altitude,area_drenagem_km2,anos_dados,data_inicio,data_fim,operando,operadora,bacia_nome,sub_bacia_pref,dist_min_km,dist_centroide_km,score_anos,score_falhas,score_proximidade,score
58974000,CAMPOS - PONTE MUNICIPAL,-21.7514,-41.3244,20.0,55700.0,97.78,1922-12-01,2020-09-10,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,406.6503771456173,430.76238148831004,1.0,1.0,0.04687678968856021,0.8093753579377121
57700000,CAIANA,-20.6947,-41.9214,739.0,406.0,89.04,1935-10-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",57,411.4407882354607,433.69399312169287,1.0,1.0,0.046356303217870334,0.8092712606435741
58227000,EMBAU,-22.5975,-45.0355555555556,,179.0,35.76,1969-10-01,2005-07-06,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",58,44.32946808093748,55.76123670034639,0.8939999999999999,1.0,0.3108995083689574,0.8091799016737914
58760000,ARACI,-21.5833333333333,-42.8333333333333,,91.6,37.67,1968-09-01,2006-05-05,True,DAEE-MG,"ATLÂNTICO,TRECHO LESTE",58,276.3563267630858,299.1929608712391,0.9417500000000001,1.0,0.06748632707945684,0.7843722654158913
58040200,SÃO LUÍS DO PARAITINGA,-23.2394444444444,-45.3052777777778,734.0,1950.0,22.58,1973-05-01,1995-12-01,False,ANA,"ATLÂNTICO,TRECHO LESTE",58,0.04269306836304996,21.45776650045622,0.5645,1.0,0.997869893620711,0.7818239787241421
58916900,FAZENDA CACHOEIRA,-21.0833333333333,-42.3333333333333,,1050.0,37.67,1968-09-01,2006-05-05,True,DAEE-MG,"ATLÂNTICO,TRECHO LESTE",58,351.0568684256842,373.49949785683634,0.9417500000000001,1.0,0.053900093764214015,0.7816550187528428
58410000,PAQUEQUER,-22.4336,-42.9748,885.0,26.9,37.12,1973-11-01,2010-12-14,True,INEA-RJ,"ATLÂNTICO,TRECHO LESTE",58,221.19179018204403,245.38231118356194,0.9279999999999999,1.0,0.08292156206852905,0.7805843124137058
58355000,RESERVATÓRIO SANTANA - KM15,-22.55,-43.8167,361.0,2930.0,36.17,1976-10-01,2012-12-01,False,LIGHT,"ATLÂNTICO,TRECHO LESTE",58,135.18804858605387,159.22805724914795,0.90425,1.0,0.12887590366799237,0.7779001807335985
58217500,PITEU,-22.6730555555556,-45.0172222222222,524.0,39.4,32.01,1973-07-01,2005-07-06,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",58,36.02022916547252,49.30726750790251,0.8002499999999999,1.0,0.35701389119498267,0.7715277782389964
58736000,BARRA DO XOPOTÓ,-21.2931,-42.82,230.0,1280.0,36.62,1988-03-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,297.12981468401904,319.21098818212363,0.9155,1.0,0.0630656566300067,0.7703631313260013
